title,year,imdb_votes,location,geocode
The Young Savages,1961,1505,"East Harlem, Manhattan, New York City, New York, USA",
The Chosen,1981,1532,"Park Slope, Brooklyn, New York City, New York, USA",
No Way to Treat a Lady,1968,1536,"Lincoln Center for the Performing Arts, Lincoln Center Plaza, Manhattan, New York City, New York, USA",
Breeders,1986,1554,"New York City, New York, USA",
The Landlord,1970,1557,"51 Prospect Place, Brooklyn, New York City, New York, USA",
Mr. Jealousy,1997,1568,"Greenwich Village, Manhattan, New York City, New York, USA",
John and Mary,1969,1571,"Biograph Studios, Bronx, New York City, New York, USA",
The Exploding Girl,2009,1571,"New York City, New York, USA",
The Book of Life,1998,1643,"Staten Island Ferry, New York Harbor, New York City, New York, USA",
They All Laughed,1981,1659,"Manhattan, New York City, New York, USA",
It Felt Like Love,2013,1687,"Brooklyn, New York City, New York, USA",
The Confession,1999,1777,"Battery Park, Manhattan, New York City, New York, USA",
The Confession,1999,1777,"Brooklyn, New York City, New York, USA",
The Confession,1999,1777,"New York City, New York, USA",
The Confession,1999,1777,"Tribeca, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Cherry Lane Theatre - 38 Commerce Street, Greenwich Village, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Greenwich Village, Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"Manhattan, New York City, New York, USA",
The House on Carroll Street,1988,1777,"New York City, New York, USA",
Side Street,1949,1791,"32nd Street and First Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"8th Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Battery Park, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Central Park West, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Central Park, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"East River, New York City, New York, USA",
Side Street,1949,1791,"Federal Hall, Wall Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Fulton Fishmarket, Fulton Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Greenwich Village, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Morgue, Bellevue Hospital - 550 First Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Park Avenue, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Polyclinic Hospital, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Queensboro Bridge, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Third Avenue El, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Times Square, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Wall Street, Manhattan, New York City, New York, USA",
Side Street,1949,1791,"Washington Market, Manhattan, New York City, New York, USA",
Little Fugitive,1953,1820,"2951 West 8th St., Brooklyn, New York City, New York, USA",
Little Fugitive,1953,1820,"Coney Island, Brooklyn, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"Christopher Street Pier, Greenwich Village, Manhattan, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"Christopher Street, Greenwich Village, Manhattan, New York City, New York, USA",
"Kiss Me, Guido",1997,1825,"The Bronx, New York City, New York, USA",
Chelsea Walls,2001,1834,"Chelsea Hotel - 222 West 23rd Street, Chelsea, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Sutton Place Park, 57th Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Corner of Mercer Street, and Broome Street , New York City, New York, USA",
Fingers,1978,1842,"486 Broadway, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Carnegie Hall - 57th Street & 7th Avenue, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Central Park, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Excelsior Athletic Club, 301 East 57th Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"New York City, New York, USA",
Fingers,1978,1842,"Pierre Hotel, Fifth Avenue & 61st Street, Manhattan, New York City, New York, USA",
Fingers,1978,1842,"Soho District, Lower Manhattan, Manhattan, New York City, New York, USA",
Plaza Suite,1971,1846,"Plaza Hotel - 750 Fifth Avenue, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Central Park Lake, Central Park, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Central Park, Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"Manhattan, New York City, New York, USA",
Sunday in New York,1963,1904,"New York City, New York, USA",
Sunday in New York,1963,1904,"Pennsylvania Station, Manhattan, New York City, New York, USA",
"The World, the Flesh and the Devil",1959,1972,"Manhattan, New York City, New York, USA",
Ira & Abby,2006,1975,"New York City, New York, USA",
The Incident,1967,1977,"3rd Avenue, Bronx, New York City, New York, USA",
The Incident,1967,1977,"Biograph Studios, Bronx, New York City, New York, USA",
The Incident,1967,1977,"New York City, New York, USA",
The Incident,1967,1977,"Webster Avenue, Bronx, New York City, New York, USA",
Vigilante,1983,1984,"Brooklyn, New York City, New York, USA",
Vigilante,1983,1984,"New York City, New York, USA",
The Saint of Fort Washington,1993,1988,"New York City, New York, USA",
Shakedown,1988,2012,"Astoria, Queens, New York City, New York, USA",
Shakedown,1988,2012,"Astroland Park, Coney Island, Brooklyn, New York City, New York, USA",
Shakedown,1988,2012,"Times Square, Manhattan, New York City, New York, USA",
Combat Shock,1984,2032,"Port Richmond, Staten Island, New York City, New York, USA",
Combat Shock,1984,2032,"Staten Island, New York City, New York, USA",
Cinemania,2002,2057,"New York City, New York, USA",
Joe,1970,2059,"New York City, New York, USA",
Putney Swope,1969,2091,"New York City, New York, USA",
The Valachi Papers,1972,2092,"New York City, New York, USA",
Puccini for Beginners,2006,2107,"New York City, New York, USA",
The Night We Never Met,1993,2122,"New York City, New York, USA",
The Catered Affair,1956,2158,"1183 Franklin Avenue, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"900 Grand Concourse, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"Triborough Bridge, Bronx, New York City, New York, USA",
The Catered Affair,1956,2158,"Bronx, New York City, New York, USA",
Those People,2015,2158,"Manhattan, New York City, New York, USA",
Someday This Pain Will Be Useful to You,2011,2178,"New York City, New York, USA",
Mr. Lucky,1943,2179,"George Washington Bridge, Manhattan, New York City, New York, USA",
A Double Life,1947,2187,"Epire Theatre, New York City, New York, USA",
A Double Life,1947,2187,"New York City, New York, USA",
Love the Hard Way,2001,2197,"Bronx, New York City, New York, USA",
Love the Hard Way,2001,2197,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",
Love the Hard Way,2001,2197,"Manhattan, New York City, New York, USA",
Love the Hard Way,2001,2197,"New York City, New York, USA",
Love the Hard Way,2001,2197,"Staten Island Ferry, New York Harbor, New York City, New York, USA",
Love the Hard Way,2001,2197,"Tribeca Cinemas, Tribeca, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"Bookmasters Book Store, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"Le Caf Figaro - 184 Bleecker Street, Greenwich Village, Manhattan, New York City, New York, USA",
Greetings,1968,2376,"New York City, New York, USA",
Greetings,1968,2376,"What Not Shop, New York City, New York, USA",
A Price Above Rubies,1998,2378,"Bensonhurst, Brooklyn, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Central Park, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Club 45, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"General Motors Building - 767 Fifth Avenue, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"Lincoln Center - 10 Lincoln Center Plaza, Manhattan, New York City, New York, USA",
The Owl and the Pussycat,1970,2431,"The New School, Manhattan, New York City, New York, USA",
